iter	Passed	Remaining
806	1628	389
807	1630	387
808	1632	385
809	1636	383
810	1638	381
811	1640	379
812	1641	377
813	1643	375
814	1645	373
815	1646	371
816	1648	369
817	1650	367
818	1651	365
819	1653	362
820	1655	360
821	1657	358
822	1658	356
823	1660	354
824	1662	352
825	1663	350
826	1665	348
827	1667	346
828	1668	344
829	1670	342
830	1672	340
831	1673	337
832	1675	335
833	1677	333
834	1680	332
835	1682	329
836	1683	327
837	1685	325
838	1687	323
839	1690	321
840	1691	319
841	1693	317
842	1695	315
843	1696	313
844	1698	311
845	1700	309
846	1701	307
847	1703	305
848	1705	303
849	1706	301
850	1708	299
851	1710	297
852	1711	295
853	1713	292
854	1715	290
855	1717	288
856	1718	286
857	1720	284
858	1722	282
859	1723	280
860	1725	278
861	1727	276
862	1728	274
863	1730	272
864	1732	270
865	1734	268
866	1735	266
867	1737	264
868	1738	262
869	1740	260
870	1742	258
871	1743	255
872	1745	253
873	1747	251
874	1748	249
875	1750	247
876	1752	245
877	1754	243
878	1755	241
879	1757	239
880	1759	237
881	1760	235
882	1761	233
883	1763	231
884	1765	229
885	1766	227
886	1768	225
887	1769	223
888	1771	221
889	1773	219
890	1775	217
891	1776	215
892	1778	213
893	1780	211
894	1781	209
895	1783	206
896	1785	205
897	1787	203
898	1789	201
899	1791	199
900	1792	196
901	1794	194
902	1796	192
903	1797	190
904	1799	188
905	1801	186
906	1802	184
907	1804	182
908	1805	180
909	1807	178
910	1809	176
911	1810	174
912	1812	172
913	1814	170
914	1815	168
915	1817	166
916	1819	164
917	1820	162
918	1822	160
919	1824	158
920	1825	156
921	1827	154
922	1829	152
923	1830	150
924	1832	148
925	1834	146
926	1836	144
927	1837	142
928	1839	140
929	1841	138
930	1842	136
931	1844	134
932	1846	132
933	1847	130
934	1849	128
935	1851	126
936	1852	124
937	1853	122
938	1855	120
939	1857	118
940	1859	116
941	1860	114
942	1862	112
943	1864	110
944	1865	108
945	1867	106
946	1869	104
947	1870	102
948	1872	100
949	1874	98
950	1875	96
951	1877	94
952	1879	92
953	1880	90
954	1883	88
955	1885	86
956	1887	84
957	1888	82
958	1890	80
959	1892	78
960	1893	76
961	1895	74
962	1896	72
963	1898	70
964	1901	68
965	1903	66
966	1904	65
967	1906	63
968	1908	61
969	1909	59
970	1911	57
971	1913	55
972	1914	53
973	1916	51
974	1918	49
975	1919	47
976	1921	45
977	1923	43
978	1924	41
979	1926	39
980	1928	37
981	1930	35
982	1932	33
983	1933	31
984	1935	29
985	1937	27
986	1938	25
987	1940	23
988	1942	21
989	1944	19
990	1945	17
991	1947	15
992	1949	13
993	1951	11
994	1952	9
995	1955	7
996	1956	5
997	1958	3
998	1960	1
999	1962	0
